#d	angle	NN
5.00E-10	7.5	2
5.00E-10	25.28	1
6.00E-10	0	2
6.00E-10	14	2
6.00E-10	26.3	2
7.00E-10	6	2
7.00E-10	17	2
7.00E-10	23.4	1
8.00E-10	0	3
8.00E-10	9.82	2
8.00E-10	15.2	2
8.00E-10	19	2
8.00E-10	24.5	2
9.00E-10	0	4
9.00E-10	4.3	2
9.00E-10	9	1
9.00E-10	12.7	2
9.00E-10	27.5	1
1.00E-09	0	4
1.00E-09	4	2
1.00E-09	7.6	2
1.00E-09	11.7	2
1.00E-09	19	2
1.00E-09	28	2
1.10E-09	0	4
1.10E-09	3.5	2
1.10E-09	7	2
1.10E-09	14	2
1.10E-09	22	2
1.10E-09	26	2
1.20E-09	3.2	3
1.20E-09	9.5	2
1.20E-09	16.6	2
1.20E-09	20	2
1.20E-09	26.3	1
1.30E-09	0	5
1.30E-09	5.8	4
1.30E-09	12.22	2
1.30E-09	18	2
1.30E-09	21.3	2
1.30E-09	28	2
1.40E-09	2.8	4
1.40E-09	8.5	2
1.40E-09	14	2
1.40E-09	17	1
1.40E-09	23.5	1
1.40E-09	28.5	2
1.50E-09	0	6
1.50E-09	5.2	4
1.50E-09	8	2
1.50E-09	10.3	2
1.50E-09	13	2
1.50E-09	18	2
1.50E-09	24	2
1.60E-09	0	6
1.60E-09	2.4	4
1.60E-09	5	3
1.60E-09	7.22	3
1.60E-09	9.8	2
1.60E-09	20	2
1.60E-09	24	2
1.70E-09	0	7
1.70E-09	2.3	3
1.70E-09	4.5	3
1.70E-09	7	3
1.70E-09	11.4	2
1.70E-09	16.5	2
1.70E-09	23.5	2
1.80E-09	0	7
1.80E-09	4.3	4
1.80E-09	8.57	3
1.80E-09	13.3	2
1.80E-09	20	2
1.80E-09	27.4	1
1.80E-09	29	2
1.90E-09	2	4
1.90E-09	6	3
1.90E-09	10.4	3
1.90E-09	14.5	2
1.90E-09	16.7	2
1.90E-09	20.6	1
1.90E-09	25.3	1
2.00E-09	0	8
2.00E-09	4	4
2.00E-09	8	4
2.00E-09	11.7	4
2.00E-09	14	4
2.00E-09	15.5	2
2.00E-09	17.6	2
2.00E-09	22	2
2.00E-09	29	2
2.10E-09	1.87	4
2.10E-09	5.6	4
2.10E-09	9.2	4
2.10E-09	13	4
2.10E-09	15	4
2.10E-09	19	4
2.10E-09	22.6	2
2.10E-09	24.7	2
2.20E-09	0	8
2.20E-09	3.5	4
2.20E-09	5.4	3
2.20E-09	7	3
2.20E-09	9	3
2.20E-09	10.5	3
2.20E-09	12.5	3
2.20E-09	21.8	3
2.20E-09	26	2
2.20E-09	28	2
2.30E-09	0	9
2.30E-09	1.68	4
2.30E-09	3.4	4
2.30E-09	5	4
2.30E-09	6.8	3
2.30E-09	8.3	3
2.30E-09	10	3
2.30E-09	17.2	3
2.30E-09	19	3
2.30E-09	22	2
2.40E-09	0	10
2.40E-09	1.62	4
2.40E-09	3	4
2.40E-09	4.8	3
2.40E-09	8	3
2.40E-09	11.2	3
2.40E-09	16.6	3
2.40E-09	18	3
2.40E-09	23.5	3
2.40E-09	25.3	3
2.40E-09	29	2
2.50E-09	0	10
2.50E-09	3	3
2.50E-09	6	3
2.50E-09	9.5	3
2.50E-09	12.6	3
2.50E-09	14.3	3
2.50E-09	17.3	3
2.50E-09	21	2
2.50E-09	23.7	2
2.50E-09	25.55	2
